Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,241.000000,242.449997,240.250000,241.500000,147.582092,2227003
2019-01-02,240.899994,241.449997,236.050003,236.699997,144.648727,3897893
2019-01-03,238.699997,238.699997,233.199997,235.000000,143.609894,5664136
2019-01-04,234.100006,237.699997,233.750000,236.500000,144.526520,2885669
2019-01-07,238.000000,238.000000,233.500000,234.500000,143.304321,7347326
2019-01-08,234.500000,235.149994,232.149994,233.300003,142.571014,4206563
2019-01-09,234.199997,234.850006,231.800003,232.649994,142.173767,2954253
2019-01-10,233.800003,233.949997,232.050003,233.000000,142.387650,2292058
2019-01-11,233.699997,233.750000,231.500000,232.250000,141.929337,2446815
2019-01-14,232.399994,232.500000,229.050003,230.899994,141.104370,2273231
2019-01-15,231.500000,233.600006,231.050003,232.649994,142.173767,2323323
2019-01-16,232.800003,233.399994,231.550003,232.050003,141.807114,2050899
2019-01-17,232.750000,232.750000,230.399994,232.050003,141.807114,3220136
2019-01-18,232.149994,232.550003,229.600006,230.000000,140.554352,2944908
2019-01-21,230.449997,231.250000,228.149994,229.000000,139.943268,1904575
2019-01-22,228.449997,230.350006,225.800003,227.750000,139.179367,4564028
2019-01-23,227.800003,228.000000,225.250000,225.550003,137.834930,2328748
2019-01-24,225.699997,226.250000,223.000000,223.850006,136.796051,2838220
2019-01-25,224.250000,226.199997,220.100006,220.949997,135.023865,3432012
2019-01-28,221.250000,227.500000,218.050003,225.199997,137.621048,3917992
2019-01-29,225.399994,225.850006,221.149994,222.550003,136.001617,3850399
2019-01-30,222.000000,228.000000,220.550003,225.199997,137.621048,7349253
2019-01-31,226.500000,227.500000,223.050003,224.649994,137.284958,15389786
2019-02-01,224.350006,226.699997,222.750000,223.199997,136.398834,2820146
2019-02-04,223.300003,224.199997,220.050003,222.100006,135.726639,3417620
2019-02-05,222.000000,223.399994,215.699997,216.399994,132.243332,5557034
2019-02-06,216.500000,220.699997,216.350006,219.949997,134.412735,3707342
2019-02-07,220.800003,224.649994,220.149994,224.199997,137.009918,3111207
2019-02-08,223.899994,225.649994,217.600006,218.649994,133.618317,2962142
2019-02-11,217.699997,220.350006,214.149994,218.800003,133.709976,4580373
2019-02-12,219.800003,223.899994,219.350006,223.050003,136.307190,7857592
2019-02-14,217.000000,219.699997,211.399994,217.199997,132.732178,14953813
2019-02-15,219.899994,221.500000,214.699997,219.949997,134.412735,11511255
2019-02-18,218.000000,218.000000,214.800003,215.149994,131.479431,3651021
2019-02-19,215.250000,218.949997,213.550003,214.250000,130.929459,5288764
2019-02-20,214.800003,216.399994,213.550003,214.949997,131.357208,6637981
2019-02-21,215.050003,215.699997,213.199997,213.699997,130.593323,4081685
2019-02-22,214.850006,216.899994,213.449997,214.949997,131.357208,5229408
2019-02-25,216.000000,216.699997,212.699997,214.350006,130.990570,9386982
2019-02-26,213.300003,222.000000,213.000000,220.149994,134.534958,11886116
2019-02-27,221.500000,224.399994,219.600006,221.449997,135.329407,8604781
2019-02-28,223.500000,229.899994,222.149994,228.300003,139.515488,32625237
