Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,1115.000000,1117.040039,1098.994995,1101.505005,1021.500244,317090
2019-01-02,1098.050049,1116.000000,1090.704956,1103.540039,1023.387207,281670
2019-01-03,1111.099976,1149.900024,1099.989990,1120.714966,1039.314819,1692910
2019-01-04,1113.900024,1119.890015,1065.555054,1085.119995,1006.305481,2061630
2019-01-07,1087.500000,1093.964966,1070.000000,1078.609985,1000.268127,859590
2019-01-08,1080.000000,1124.000000,1069.000000,1100.540039,1020.605408,1343410
2019-01-09,1109.984985,1129.839966,1105.839966,1125.224976,1043.497437,984830
2019-01-10,1132.000000,1144.780029,1113.959961,1141.660034,1058.738770,769150
2019-01-11,1140.015015,1145.800049,1115.099976,1127.300049,1045.421875,572530
2019-01-14,1130.000000,1138.569946,1118.994995,1122.864990,1041.308716,518110
2019-01-15,1129.599976,1134.000000,1120.000000,1128.265015,1046.316772,494700
2019-01-16,1126.104980,1129.175049,1098.000000,1105.589966,1025.288574,1366790
2019-01-17,1120.000000,1123.295044,1112.199951,1116.569946,1035.471069,727370
2019-01-18,1120.000000,1132.645020,1118.099976,1124.839966,1043.140137,767620
2019-01-21,1129.599976,1130.895020,1115.010010,1125.525024,1043.775513,191080
2019-01-22,1129.000000,1135.000000,1120.000000,1123.655029,1042.041260,399580
2019-01-23,1125.500000,1134.800049,1124.000000,1131.589966,1049.400269,512100
2019-01-24,1131.589966,1146.000000,1130.604980,1143.339966,1060.296265,1046180
2019-01-25,1146.000000,1151.699951,1130.000000,1136.560059,1054.009399,599280
2019-01-28,1136.560059,1142.000000,1115.500000,1136.060059,1053.545532,1039630
2019-01-29,1138.000000,1144.000000,1129.390015,1139.910034,1057.115723,706320
2019-01-30,1142.000000,1143.974976,1128.000000,1139.665039,1056.888550,392900
2019-01-31,1142.000000,1153.895020,1137.305054,1149.785034,1066.273560,953730
2019-02-01,1149.805054,1162.199951,1143.015015,1155.655029,1071.717163,619060
2019-02-04,1151.500000,1164.214966,1150.000000,1153.375000,1069.603027,344340
2019-02-05,1153.494995,1165.400024,1151.010010,1160.744995,1076.437500,367270
2019-02-06,1165.400024,1165.400024,1146.969971,1161.739990,1077.360352,278850
2019-02-07,1161.500000,1174.900024,1154.000000,1171.569946,1086.476196,361680
